Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T007_005,SE_T007_006,SE_T007_007,SE_T007_008,SE_T007_009,SE_T007_010,SE_T007_011,SE_T007_012,SE_T007_013,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T017_001,SE_T017_002,SE_T017_003,SE_T017_004,SE_T017_005,SE_T017_006,SE_T017_007,SE_T017_008,SE_T017_009,SE_T057_001,SE_T093_001,SE_T094_001,SE_T094_002,SE_T094_003,SE_T118_001,SE_T118_002,SE_T118_003,SE_T118_004,SE_T118_005
"01","04000US01","Alabama","Alabama","al","040","00","ACSSF","0000001",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4833722,4833722,95.4426075375367,50645.3262825928,4833722,2341869,2491853,4833722,292354,302298,328072,187167,498384,612773,608333,660842,621961,419711,218808,83019,4833722,3330478,1284102,22459,58624,1521,54784,81754,1822439,1222568,857865,364703,80482,284221,599871,276592,323279,42849,2190027,1822439,1240017,582422,4716105,883371,1013560,1896931,2819174
"02","04000US02","Alaska","Alaska","ak","040","00","ACSSF","0000001",,,,,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735132,735132,1.28825667064729,570640.941941044,735132,386404,348728,735132,54705,50862,53186,29613,84107,114008,89946,101153,91968,43156,16856,5572,735132,487762,25077,105310,41775,8794,9508,56906,246015,165431,126502,38929,14104,24825,80584,45075,35509,72237,307417,246015,156107,89908,718359,67016,115519,182535,535824
"04","04000US04","Arizona","Arizona","az","040","00","ACSSF","0000001",,,,,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6626624,6626624,58.3359938081563,113594.087756391,6626624,3298086,3328538,6626624,430081,461694,453760,270427,665925,880940,832886,834747,777440,589406,311306,118012,6626624,5233466,277973,288294,191718,12609,410756,211808,2400809,1572310,1136593,435717,129461,306256,828499,403208,425291,48510,2892359,2400809,1490031,910778,6477191,1206460,1361082,2567542,3909649
"05","04000US05","Arkansas","Arkansas","ar","040","00","ACSSF","0000001",,,,,"05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2959373,2959373,56.8722179760581,52035.477168234,2959373,1461544,1497829,2959373,190202,210050,195242,116128,287248,383853,367589,388763,366756,260847,140018,52677,2959373,2305726,463928,17704,39210,628,66953,65224,1125899,751124,548537,202587,52502,150085,374775,172267,202508,40511,1329777,1125899,739987,385912,2873340,565469,681359,1246828,1626512
"06","04000US06","California","California","ca","040","00","ACSSF","0000001",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38332521,38332521,246.069532959516,155779.224428839,38332521,19072246,19260275,38332521,2500565,2559235,2539869,1574515,4011105,5582572,5159912,5207404,4403236,2692906,1427597,673605,38332521,23741019,2269021,278377,5210236,142782,4961376,1729710,12650592,8645970,6160314,2485656,758362,1727294,4004622,1898528,2106094,60190,13791262,12650592,6804639,5845953,37593091,6328824,7521695,13850519,23742572
"08","04000US08","Colorado","Colorado","co","040","00","ACSSF","0000001",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5268367,5268367,50.8324107118614,103641.887650445,5268367,2645976,2622391,5268367,333573,349279,360838,197635,512807,776660,720347,715100,657185,382712,187498,74733,5268367,4415852,209555,43613,150852,8315,251148,189032,2002800,1279941,982202,297739,88386,209353,722859,357641,365218,58823,2247291,2002800,1291945,710855,5151461,667446,890879,1558325,3593136
"09","04000US09","Connecticut","Connecticut","ct","040","00","ACSSF","0000001",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3596080,3596080,742.630370810733,4842.35514913583,3596080,1751883,1844197,3596080,190746,219926,230077,144593,345423,439149,448157,556065,477438,293384,159188,91934,3596080,2778681,370998,8018,147570,545,185341,104927,1339860,890293,657885,232408,57268,175140,449567,199619,249948,67098,1488072,1339860,888478,451382,3485353,373900,463581,837481,2647872
"10","04000US10","Delaware","Delaware","de","040","00","ACSSF","0000001",,,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925749,925749,475.098001279574,1948.54324267139,925749,447789,477960,925749,56235,57145,57557,32751,92331,119039,111785,130801,121160,86005,43225,17715,925749,637606,200249,3955,33639,841,23029,26430,339071,228364,164733,63631,14648,48983,110707,49657,61050,57846,412015,339071,243047,96024,900322,111327,152836,264163,636159
"12","04000US12","Florida","Florida","fl","040","00","ACSSF","0000001",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19552860,19552860,364.623744504365,53624.7578351714,19552860,9565609,9987251,19552860,1074049,1101641,1150674,702366,1797134,2435386,2409505,2726761,2511061,1984921,1163267,496095,19552860,14897782,3141552,50379,509588,8241,486005,459313,7211584,4626388,3334383,1292005,335618,956387,2585196,1185508,1399688,46036,9047973,7211584,4672482,2539102,19129950,3253333,4079946,7333279,11796671
"13","04000US13","Georgia","Georgia","ga","040","00","ACSSF","0000001",,,,,"13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9992167,9992167,173.736077156977,57513.483460155,9992167,4879034,5113133,9992167,657016,706117,712651,414597,1029614,1347160,1391341,1384531,1158367,726904,341781,122088,9992167,6035159,3095976,21692,355900,3639,268958,210843,3546965,2389803,1672704,717099,175702,541397,1157162,530053,627109,47829,4110162,3546965,2222377,1324588,9720914,1843768,2025414,3869182,5851732
