"Year","Location Description","Data Source","Topic Description","Measure Description","Sub-Measure","Data Value Type","Data Value"
"2013","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.942"
"2013","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","64.600"
"2013","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","29.000"
"2013","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.435"
"2013","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","132215587.000"
"2013","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.425"
"2013","Alaska","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","8.659"
"2013","Alaska","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","39.000"
"2013","Alaska","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","34.800"
"2013","Alaska","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","3.010"
"2013","Alaska","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","56983372.000"
"2013","Alaska","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","2.000"
"2013","Arizona","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","6.622"
"2013","Arizona","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","24.400"
"2013","Arizona","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","45.500"
"2013","Arizona","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","3.010"
"2013","Arizona","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","316111769.000"
"2013","Arizona","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","2.000"
"2013","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.521"
"2013","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","57.500"
"2013","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","39.100"
"2013","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.160"
"2013","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","190245330.000"
"2013","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.150"
"2013","California","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.510"
"2013","California","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","23.900"
"2013","California","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","34.100"
"2013","California","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.880"
"2013","California","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","788753850.000"
"2013","California","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.870"
