"Year","Location Description","Data Source","Topic Description","Measure Description","Response","Data Value Type","Data Value","Low Confidence Limit","High Confidence Limit","Sample Size","Gender","Age","Race","Education"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","21.5","19.9","23.1","6383","Overall","All Ages","All Races","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","25.1","22.4","27.8","2161","Male","All Ages","All Races","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","18.2","16.5","19.9","4222","Female","All Ages","All Races","All Grades"
"2013","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","22.6","20.8","24.4","4476","Overall","All Ages","All Races","All Grades"
"2013","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","22.9","20.4","25.4","2081","Male","All Ages","All Races","All Grades"
"2013","Alaska","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","22.2","19.6","24.8","2395","Female","All Ages","All Races","All Grades"
"2013","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","16.3","14.3","18.3","4111","Overall","All Ages","All Races","All Grades"
"2013","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","19.3","16.0","22.6","1689","Male","All Ages","All Races","All Grades"
"2013","Arizona","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","13.5","11.2","15.8","2422","Female","All Ages","All Races","All Grades"
"2013","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","25.9","24.1","27.7","5101","Overall","All Ages","All Races","All Grades"
"2013","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","26.7","23.8","29.6","1945","Male","All Ages","All Races","All Grades"
"2013","Arkansas","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","25.2","22.9","27.5","3156","Female","All Ages","All Races","All Grades"
"2013","California","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","12.5","11.6","13.4","10622","Overall","All Ages","All Races","All Grades"
"2013","California","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","16.1","14.6","17.6","4663","Male","All Ages","All Races","All Grades"
"2013","California","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","9.1","8.1","10.1","5959","Female","All Ages","All Races","All Grades"
"2013","Colorado","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","17.7","16.8","18.6","12774","Overall","All Ages","All Races","All Grades"
"2013","Colorado","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","19.0","17.6","20.4","5549","Male","All Ages","All Races","All Grades"
"2013","Colorado","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","16.4","15.2","17.6","7225","Female","All Ages","All Races","All Grades"
"2013","Connecticut","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","15.5","14.3","16.7","7479","Overall","All Ages","All Races","All Grades"
"2013","Connecticut","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","16.8","14.9","18.7","3090","Male","All Ages","All Races","All Grades"
"2013","Connecticut","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","14.3","12.7","15.9","4389","Female","All Ages","All Races","All Grades"
"2013","Delaware","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","19.6","18.0","21.2","5052","Overall","All Ages","All Races","All Grades"
"2013","Delaware","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","22.0","19.5","24.5","2013","Male","All Ages","All Races","All Grades"
"2013","Delaware","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","17.3","15.3","19.3","3039","Female","All Ages","All Races","All Grades"
"2013","District of Columbia","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","18.8","16.8","20.8","4702","Overall","All Ages","All Races","All Grades"
"2013","District of Columbia","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","23.4","20.1","26.7","1865","Male","All Ages","All Races","All Grades"
"2013","District of Columbia","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","14.7","12.3","17.1","2837","Female","All Ages","All Races","All Grades"
"2013","Florida","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","16.8","15.9","17.7","33028","Overall","All Ages","All Races","All Grades"
"2013","Florida","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","19.5","18.0","21.0","12879","Male","All Ages","All Races","All Grades"
"2013","Florida","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","14.4","13.4","15.4","20149","Female","All Ages","All Races","All Grades"
"2013","Georgia","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","18.8","17.5","20.1","7725","Overall","All Ages","All Races","All Grades"
"2013","Georgia","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","22.6","20.5","24.7","2908","Male","All Ages","All Races","All Grades"
"2013","Georgia","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","15.4","14.0","16.8","4817","Female","All Ages","All Races","All Grades"
"2013","Guam","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","26.5","23.8","29.2","1835","Overall","All Ages","All Races","All Grades"
"2013","Guam","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","30.4","26.2","34.6","791","Male","All Ages","All Races","All Grades"
"2013","Guam","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","22.7","19.3","26.1","1044","Female","All Ages","All Races","All Grades"
"2013","Hawaii","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","13.3","12.2","14.4","7676","Overall","All Ages","All Races","All Grades"
"2013","Hawaii","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","15.7","14.0","17.4","3532","Male","All Ages","All Races","All Grades"
"2013","Hawaii","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","11.0","9.5","12.5","4144","Female","All Ages","All Races","All Grades"
"2013","Idaho","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","17.2","15.6","18.8","5491","Overall","All Ages","All Races","All Grades"
"2013","Idaho","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","19.4","17.0","21.8","2323","Male","All Ages","All Races","All Grades"
"2013","Idaho","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","15.0","13.1","16.9","3168","Female","All Ages","All Races","All Grades"
"2013","Illinois","BRFSS","Cigarette Use (Adults)","Smoking Status","Current","Percentage","18.0","16.5","19.5","5526","Overall","All Ages","All Races","All Grades"
